IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
23.95.18.12,18443,TRUE,SEA,North America,Seattle,208 ms,8571 kB/s
68.167.5.7,25212,TRUE,LAX,North America,Los Angeles,180 ms,8554 kB/s
143.20.106.17,25212,TRUE,LAX,North America,Los Angeles,205 ms,8542 kB/s
209.178.233.11,25212,TRUE,LAX,North America,Los Angeles,204 ms,8542 kB/s
143.20.106.83,25212,TRUE,LAX,North America,Los Angeles,207 ms,8538 kB/s
68.167.5.99,25212,TRUE,LAX,North America,Los Angeles,209 ms,8535 kB/s
68.167.5.17,25212,TRUE,LAX,North America,Los Angeles,215 ms,8534 kB/s
143.20.106.33,25212,TRUE,LAX,North America,Los Angeles,203 ms,8527 kB/s
192.3.86.244,995,TRUE,LAX,North America,Los Angeles,181 ms,8525 kB/s
143.20.106.13,25212,TRUE,LAX,North America,Los Angeles,208 ms,8511 kB/s
148.135.124.217,8800,TRUE,LAX,North America,Los Angeles,184 ms,8507 kB/s
66.92.166.200,25212,TRUE,LAX,North America,Los Angeles,208 ms,8506 kB/s
66.92.166.253,25212,TRUE,LAX,North America,Los Angeles,210 ms,8506 kB/s
66.92.166.99,25212,TRUE,LAX,North America,Los Angeles,201 ms,8469 kB/s
107.174.152.237,9443,TRUE,SEA,North America,Seattle,202 ms,8459 kB/s
68.167.5.100,25212,TRUE,LAX,North America,Los Angeles,188 ms,8455 kB/s
107.174.245.44,10305,TRUE,SEA,North America,Seattle,205 ms,8452 kB/s
68.167.5.21,25212,TRUE,LAX,North America,Los Angeles,206 ms,8443 kB/s
209.178.233.13,25212,TRUE,LAX,North America,Los Angeles,208 ms,8428 kB/s
107.173.153.222,19071,TRUE,SJC,North America,San Jose,193 ms,8423 kB/s
143.20.106.34,25212,TRUE,LAX,North America,Los Angeles,203 ms,8402 kB/s
66.92.166.208,25212,TRUE,LAX,North America,Los Angeles,213 ms,8379 kB/s
143.20.178.230,25212,TRUE,LAX,North America,Los Angeles,201 ms,8369 kB/s
154.17.19.94,12380,TRUE,LAX,North America,Los Angeles,176 ms,8359 kB/s
40.27.137.51,25255,TRUE,MIA,North America,Miami,229 ms,8356 kB/s
154.17.29.85,442,TRUE,LAX,North America,Los Angeles,179 ms,8354 kB/s
