IP地址,端口,TLS,数据中心,地区,城市,网络延迟
198.1.242.66,20017,TRUE,LHR,Europe,London,217 ms
143.20.231.36,20130,TRUE,LHR,Europe,London,217 ms
143.20.231.150,20010,TRUE,LHR,Europe,London,217 ms
198.1.242.211,19000,TRUE,LHR,Europe,London,217 ms
198.1.242.86,20228,TRUE,LHR,Europe,London,217 ms
198.1.242.88,18080,TRUE,LHR,Europe,London,217 ms
143.20.231.142,20179,TRUE,LHR,Europe,London,217 ms
198.1.242.201,11401,TRUE,LHR,Europe,London,217 ms
198.1.242.85,20037,TRUE,LHR,Europe,London,217 ms
198.1.242.201,20124,TRUE,LHR,Europe,London,217 ms
198.1.242.78,20148,TRUE,LHR,Europe,London,217 ms
198.1.242.88,20073,TRUE,LHR,Europe,London,217 ms
198.1.242.84,11581,TRUE,LHR,Europe,London,217 ms
185.184.70.85,10012,TRUE,LHR,Europe,London,217 ms
143.20.231.220,20146,TRUE,LHR,Europe,London,217 ms
198.1.242.195,20055,TRUE,LHR,Europe,London,217 ms
198.1.242.217,20238,TRUE,LHR,Europe,London,218 ms
198.1.242.89,20240,TRUE,LHR,Europe,London,218 ms
198.1.242.80,20027,TRUE,LHR,Europe,London,218 ms
198.1.242.207,18011,TRUE,LHR,Europe,London,218 ms
143.20.231.45,20027,TRUE,LHR,Europe,London,218 ms
198.1.242.83,20148,TRUE,LHR,Europe,London,218 ms
198.1.242.91,20044,TRUE,LHR,Europe,London,218 ms
198.1.242.85,14891,TRUE,LHR,Europe,London,218 ms
143.20.231.40,11401,TRUE,LHR,Europe,London,218 ms
198.1.242.87,14891,TRUE,LHR,Europe,London,218 ms
143.20.231.138,12110,TRUE,LHR,Europe,London,218 ms
198.1.242.76,20167,TRUE,LHR,Europe,London,218 ms
198.1.242.195,20249,TRUE,LHR,Europe,London,218 ms
198.1.242.197,14891,TRUE,LHR,Europe,London,218 ms
198.1.242.197,20193,TRUE,LHR,Europe,London,218 ms
143.20.231.133,13080,TRUE,LHR,Europe,London,218 ms
143.20.231.102,20122,TRUE,LHR,Europe,London,218 ms
198.1.242.85,20211,TRUE,LHR,Europe,London,218 ms
143.20.231.116,20074,TRUE,LHR,Europe,London,218 ms
143.20.231.135,20056,TRUE,LHR,Europe,London,218 ms
198.1.242.206,11581,TRUE,LHR,Europe,London,218 ms
198.1.242.85,20044,TRUE,LHR,Europe,London,218 ms
198.1.242.69,20201,TRUE,LHR,Europe,London,218 ms
198.1.242.219,20076,TRUE,LHR,Europe,London,218 ms
198.1.242.199,20035,TRUE,LHR,Europe,London,218 ms
143.20.231.50,11701,TRUE,LHR,Europe,London,218 ms
143.20.231.140,20179,TRUE,LHR,Europe,London,218 ms
143.20.231.38,20061,TRUE,LHR,Europe,London,218 ms
143.20.231.152,20145,TRUE,LHR,Europe,London,218 ms
198.1.242.84,12001,TRUE,LHR,Europe,London,218 ms
198.1.242.84,13323,TRUE,LHR,Europe,London,218 ms
198.1.242.94,14891,TRUE,LHR,Europe,London,218 ms
